First process instance # in stats,501
Last process instance # in stats,9500

Resource utilization
Resource,Utilization %
Role6,qbp_c95935cb-749b-573b-ccff-e3aca3ec3df5,7
Role7,qbp_0e28b866-ab55-a81d-ed04-0ea7989e1e1d,4
Role9,qbp_4419036d-4d06-c65d-8803-4cb0bc83c720,11
Role5,qbp_51f2bbfe-af5a-5abc-9fac-02b8e8e592fc,2
Role1,QBP_DEFAULT_RESOURCE,0
Role10,qbp_2e5008d4-2b41-3acd-dc1d-50d015c2647c,0
Role3,qbp_5e28cc3c-ec02-d715-c003-274ee7e69bb7,17
Role4,qbp_80528e63-3abb-6ce5-16bb-49eab4f2570c,0
Role2,qbp_47fc69be-95c5-2e57-7d7e-eb0b8188b565,1
Role8,qbp_96435798-a7ad-02f7-4f9d-f486ae98e1db,4
Role12,qbp_ef9870f5-60f0-4d38-9c89-4e45b6796e9d,7
Role11,qbp_aa11781b-3391-6300-a574-937e55c69965,0

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Ambulance triage,proc_663974310.node_2adbb73f-8220-4578-b76e-8d0db7240531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2665
Angio,proc_663974310.node_87d5d97f-4b62-4fcd-9e7e-f4630f825ae5,4869.741677192981,4184.928,6926.669,2775752.755999999,11.446896491552653,0.0,1427.558000087738,6524.731000185013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570
Angio report,proc_663974310.node_3396f615-a2a4-42c6-81be-a3e82e69e9db,520.255464912281,3.705,1453.911,296545.61500000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570
Autonomously triage,proc_663974310.node_4d2da763-1933-4071-b924-11dbd08a5bb1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6335
